demarcation_code,financial_year,opinion_code,opinion_label,report_url
EC123,2015,qualified,Qualified,
EC156,2015,qualified,Qualified,
EC154,2014,qualified,Qualified,
FS181,2014,qualified,Qualified,
GT421,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC15,2012,disclaimer,Disclaimer of opinion,
GT482,2014,qualified,Qualified,
GT483,2015,adverse,Adverse opinion,
FS163,2013,qualified,Qualified,
FS181,2011,disclaimer,Disclaimer of opinion,
FS181,2012,qualified,Qualified,
FS181,2013,qualified,Qualified,
KZN433,2015,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
FS182,2012,qualified,Qualified,
FS182,2013,qualified,Qualified,
FS185,2011,outstanding,Outstanding,
FS185,2013,disclaimer,Disclaimer of opinion,
FS196,2011,qualified,Qualified,
FS196,2012,disclaimer,Disclaimer of opinion,
GT484,2013,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
LIM474,2014,disclaimer,Disclaimer of opinion,
LIM474,2015,qualified,Qualified,
LIM331,2014,qualified,Qualified,
LIM355,2015,qualified,Qualified,
LIM362,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
LIM362,2015,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
KZN223,2011,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
KZN223,2013,qualified,Qualified,
LIM367,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
LIM367,2015,disclaimer,Disclaimer of opinion,
DC33,2014,adverse,Adverse opinion,
LIM342,2014,qualified,Qualified,
MP316,2014,qualified,Qualified,
DC32,2014,unqualified,Unqualified - No findings,
KZN233,2011,disclaimer,Disclaimer of opinion,
MP303,2014,disclaimer,Disclaimer of opinion,
DC37,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
NW403,2015,qualified,Qualified,
NW384,2014,disclaimer,Disclaimer of opinion,
NW384,2015,disclaimer,Disclaimer of opinion,
DC40,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC40,2015,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
NW393,2015,disclaimer,Disclaimer of opinion,
NC094,2014,disclaimer,Disclaimer of opinion,
EC103,2015,outstanding,Outstanding,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2014-15/02.%20Local%20municipalities/EC103%20Ikwezi/EC103%20Ikwezi%20Audit%20report%202014-15.pdf
KZN434,2011,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
KZN434,2013,unqualified,Unqualified - No findings,
LIM332,2013,disclaimer,Disclaimer of opinion,
LIM333,2013,qualified,Qualified,
LIM334,2013,disclaimer,Disclaimer of opinion,
DC33,2013,disclaimer,Disclaimer of opinion,
LIM344,2011,disclaimer,Disclaimer of opinion,
DC34,2013,disclaimer,Disclaimer of opinion,
